info face="D:\game2\png\font\Untitled-1-export" size=32 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1
common lineHeight=80 base=26 scaleW=467 scaleH=473 pages=1 packed=0 alphaChnl=1 redChnl=0 greenChnl=0 blueChnl=0
page id=0 file="D:\game2\png\font\Untitled-1-export.png"
chars count=223
char id=65 x=279 y=291 width=26 height=31 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="A"
char id=192 x=138 y=0 width=29 height=41 xoffset=0 yoffset=39 xadvance=30 page=0 chnl=0 letter="À"
char id=193 x=165 y=407 width=29 height=41 xoffset=0 yoffset=39 xadvance=30 page=0 chnl=0 letter="Á"
char id=7842 x=166 y=120 width=29 height=42 xoffset=0 yoffset=38 xadvance=30 page=0 chnl=0 letter="Ả"
char id=195 x=74 y=0 width=31 height=39 xoffset=0 yoffset=41 xadvance=32 page=0 chnl=0 letter="Ã"
char id=7840 x=279 y=45 width=26 height=40 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="Ạ"
char id=258 x=103 y=264 width=31 height=41 xoffset=0 yoffset=39 xadvance=32 page=0 chnl=0 letter="Ă"
char id=7856 x=103 y=306 width=31 height=49 xoffset=0 yoffset=31 xadvance=32 page=0 chnl=0 letter="Ằ"
char id=7854 x=0 y=413 width=34 height=49 xoffset=0 yoffset=31 xadvance=35 page=0 chnl=0 letter="Ắ"
char id=7858 x=106 y=0 width=31 height=50 xoffset=0 yoffset=30 xadvance=32 page=0 chnl=0 letter="Ẳ"
char id=7860 x=35 y=364 width=34 height=48 xoffset=0 yoffset=32 xadvance=35 page=0 chnl=0 letter="Ẵ"
char id=7862 x=103 y=163 width=31 height=50 xoffset=0 yoffset=39 xadvance=32 page=0 chnl=0 letter="Ặ"
char id=194 x=135 y=128 width=30 height=40 xoffset=0 yoffset=40 xadvance=31 page=0 chnl=0 letter="Â"
char id=7846 x=0 y=318 width=35 height=45 xoffset=0 yoffset=35 xadvance=36 page=0 chnl=0 letter="Ầ"
char id=7844 x=0 y=0 width=39 height=46 xoffset=0 yoffset=34 xadvance=40 page=0 chnl=0 letter="Ấ"
char id=7848 x=0 y=271 width=35 height=46 xoffset=0 yoffset=34 xadvance=36 page=0 chnl=0 letter="Ẩ"
char id=7850 x=37 y=120 width=33 height=48 xoffset=0 yoffset=32 xadvance=34 page=0 chnl=0 letter="Ẫ"
char id=7852 x=135 y=169 width=30 height=49 xoffset=0 yoffset=40 xadvance=31 page=0 chnl=0 letter="Ậ"
char id=66 x=224 y=98 width=27 height=31 xoffset=0 yoffset=49 xadvance=28 page=0 chnl=0 letter="B"
char id=67 x=305 y=440 width=25 height=31 xoffset=0 yoffset=49 xadvance=26 page=0 chnl=0 letter="C"
char id=68 x=225 y=0 width=27 height=31 xoffset=0 yoffset=49 xadvance=28 page=0 chnl=0 letter="D"
char id=208 x=223 y=434 width=27 height=31 xoffset=0 yoffset=49 xadvance=28 page=0 chnl=0 letter="Ð"
char id=69 x=197 y=0 width=27 height=31 xoffset=0 yoffset=50 xadvance=28 page=0 chnl=0 letter="E"
char id=200 x=195 y=396 width=27 height=42 xoffset=0 yoffset=39 xadvance=28 page=0 chnl=0 letter="È"
char id=201 x=251 y=290 width=27 height=42 xoffset=0 yoffset=39 xadvance=28 page=0 chnl=0 letter="É"
char id=7866 x=195 y=352 width=27 height=43 xoffset=0 yoffset=38 xadvance=28 page=0 chnl=0 letter="Ẻ"
char id=7868 x=196 y=207 width=27 height=40 xoffset=0 yoffset=41 xadvance=28 page=0 chnl=0 letter="Ẽ"
char id=7864 x=223 y=311 width=27 height=39 xoffset=0 yoffset=50 xadvance=28 page=0 chnl=0 letter="Ẹ"
char id=202 x=223 y=391 width=27 height=42 xoffset=0 yoffset=39 xadvance=28 page=0 chnl=0 letter="Ê"
char id=7872 x=73 y=40 width=32 height=47 xoffset=0 yoffset=34 xadvance=33 page=0 chnl=0 letter="Ề"
char id=7870 x=0 y=120 width=36 height=47 xoffset=0 yoffset=34 xadvance=37 page=0 chnl=0 letter="Ế"
char id=7874 x=0 y=364 width=34 height=48 xoffset=0 yoffset=33 xadvance=35 page=0 chnl=0 letter="Ể"
char id=7876 x=103 y=214 width=31 height=49 xoffset=0 yoffset=32 xadvance=32 page=0 chnl=0 letter="Ễ"
char id=7878 x=224 y=205 width=27 height=50 xoffset=0 yoffset=39 xadvance=28 page=0 chnl=0 letter="Ệ"
char id=71 x=252 y=147 width=26 height=31 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="G"
char id=72 x=135 y=219 width=30 height=31 xoffset=0 yoffset=49 xadvance=31 page=0 chnl=0 letter="H"
char id=73 x=449 y=305 width=17 height=31 xoffset=0 yoffset=49 xadvance=18 page=0 chnl=0 letter="I"
char id=204 x=407 y=34 width=21 height=40 xoffset=0 yoffset=40 xadvance=22 page=0 chnl=0 letter="Ì"
char id=205 x=407 y=75 width=21 height=40 xoffset=0 yoffset=40 xadvance=22 page=0 chnl=0 letter="Í"
char id=7880 x=406 y=227 width=22 height=42 xoffset=0 yoffset=38 xadvance=23 page=0 chnl=0 letter="Ỉ"
char id=296 x=382 y=384 width=23 height=39 xoffset=0 yoffset=41 xadvance=24 page=0 chnl=0 letter="Ĩ"
char id=7882 x=428 y=305 width=20 height=40 xoffset=0 yoffset=49 xadvance=21 page=0 chnl=0 letter="Ị"
char id=74 x=253 y=0 width=25 height=31 xoffset=0 yoffset=49 xadvance=26 page=0 chnl=0 letter="J"
